facility,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,pagerank,hub_score,authority_score,community_id,community_size
IND751002AAB,0.01147342995169082,0.00785024154589372,0.003623188405797101,0.02158710036050378,0.16257463836482947,0.002845691738492951,0.005322714910693156,0.01329460540905431,79,29
IND821115AAB,0.006642512077294686,0.003623188405797101,0.0030193236714975845,0.00919587735264868,0.1502425179093887,0.002222514836224027,0.004757233445703707,0.0065445088852566485,89,31
IND834002AAB,0.007246376811594202,0.0030193236714975845,0.004227053140096618,0.007908742842408938,0.15217145180551495,0.0015118461625832711,0.004502886603001257,0.009483862533019955,89,31
IND842001AAA,0.016304347826086956,0.007246376811594202,0.009057971014492754,0.024698797378752718,0.14641280666856116,0.004580854722268056,3.4724269422756344e-05,0.005515929487015697,92,25
IND000000ACK,0.0006038647342995169,0.0,0.0006038647342995169,0.0,0.0,0.00011808275676922355,3.3563595289499114e-22,-0.0,3,5
IND000000ACN,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,3.648729512383788e-07,0.0006038647342995169,0.0002184672085625545,3.3563595289499114e-22,-8.016601828091344e-20,3,5
IND000000ACT,0.0018115942028985505,0.0,0.0018115942028985505,0.0,0.0,0.00011808275676922355,0.0068865787928670975,-0.0,15,71
IND000000ADM,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.11493078559483791,0.0004790190419979697,0.000540287537993645,0.000349325285004853,0,43
IND683511AAA,0.012077294685990338,0.00785024154589372,0.004227053140096618,0.022768801903177316,0.13863819420899773,0.0029693164219397688,0.0032510465497493698,0.005137507466074863,0,43
IND000000ADV,0.0006038647342995169,0.0,0.0006038647342995169,0.0,0.0,0.00011808275676922355,5.144909858323157e-21,-0.0,4,4
IND600044AAC,0.0018115942028985505,0.0018115942028985505,0.0,0.0,0.0018115942028985507,0.00041923611214921637,-0.0,4.892212192709927e-20,4,4
IND000000AEM,0.0012077294685990338,0.0,0.0012077294685990338,0.0,0.0,0.00011808275676922355,1.0485756942747021e-20,-0.0,5,3
IND110037AAB,0.0006038647342995169,0.0006038647342995169,0.0,0.0,0.0006038647342995169,0.00016827498266588903,-0.0,4.985368974163049e-20,5,3
IND110064AAB,0.0006038647342995169,0.0006038647342995169,0.0,0.0,0.0006038647342995169,0.00016827498266588903,-0.0,4.985368974163049e-20,5,3
IND000000AET,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.003226936380752222,0.08911628046421552,0.000495456092444423,-1.5667031145152617e-20,5.22801590565086e-21,82,67
IND000000AFF,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,3.648729512383788e-07,0.0006038647342995169,0.0002184672085625545,4.688763661106224e-23,-5.134233233739685e-20,6,3
